Pairs,I,D,BC
ConAnolis_chlorocyanus/ConAnolis_coelestinus,0.963385075017,0.787832575251,0.78783257525
ConAnolis_chlorocyanus_0/ConAnolis_coelestinus_0,0.994221516438,0.926271566143,0.926271566143
ConAnolis_chlorocyanus_0/ConAnolis_coelestinus_1,0.991290020488,0.915798441232,0.915798441231
ConAnolis_chlorocyanus_1/ConAnolis_coelestinus_0,0.994404189824,0.926252952789,0.926252952789
ConAnolis_chlorocyanus_1/ConAnolis_coelestinus_1,0.991110741585,0.912034921217,0.912034921217
