Pairs,I,D,BC
Anolis_coelestinus/Anolis_chlorocyanus,0.881427225583,0.677074324843,0.677074324843
Anolis_coelestinus_0/Anolis_chlorocyanus_0,0.997022211986,0.952090718093,0.952090718093
Anolis_coelestinus_0/Anolis_chlorocyanus_1,0.994998557508,0.944586804475,0.944586804475
Anolis_coelestinus_1/Anolis_chlorocyanus_0,0.998297680766,0.962011778858,0.962011778858
Anolis_coelestinus_1/Anolis_chlorocyanus_1,0.997449635035,0.955847674839,0.955847674838
