Species,longitude,latitude
Anolis_chlorocyanus,-72.0833,18.8667
Anolis_chlorocyanus,-70.7392,18.9064
Anolis_chlorocyanus,-72.705,18.9486
Anolis_chlorocyanus,-70.4002,18.9564
Anolis_chlorocyanus,-70.3955,18.9673
Anolis_chlorocyanus,-70.4256,18.9686
Anolis_chlorocyanus,-70.4231,18.9719
Anolis_chlorocyanus,-70.4225,18.9744
Anolis_chlorocyanus,-70.6192,18.9806
Anolis_chlorocyanus,-69.0481,18.9822
Anolis_chlorocyanus,-72.1,18.9833
Anolis_chlorocyanus,-70.4822,19.0336
Anolis_chlorocyanus,-69.3869,19.0494
Anolis_chlorocyanus,-69.6333,19.05
Anolis_chlorocyanus,-69.3856,19.0606
Anolis_chlorocyanus,-70.6378,19.1092
Anolis_chlorocyanus,-70.4042,19.1122
Anolis_chlorocyanus,-70.6439,19.1192
Anolis_chlorocyanus,-71.9997,19.1439
Anolis_chlorocyanus,-70.4333,19.15
Anolis_chlorocyanus,-70.625,19.15
Anolis_chlorocyanus,-72.6081,19.1511
Anolis_chlorocyanus,-70.55,19.1667
Anolis_chlorocyanus,-69.3319,19.2017
Anolis_chlorocyanus,-69.8965,19.2025
Anolis_chlorocyanus,-69.5739,19.2242
Anolis_chlorocyanus,-69.6125,19.2264
Anolis_chlorocyanus,-70.5301,19.2294
Anolis_chlorocyanus,-69.6039,19.2294
Anolis_chlorocyanus,-70.5329,19.2321
Anolis_chlorocyanus,-69.6,19.2333
Anolis_chlorocyanus,-69.3167,19.2333
Anolis_chlorocyanus,-70.5355,19.2346
Anolis_chlorocyanus,-71.5319,19.2422
Anolis_chlorocyanus,-69.5986,19.2425
Anolis_chlorocyanus,-70.5536,19.2444
Anolis_chlorocyanus,-69.4167,19.25
Anolis_chlorocyanus,-69.7833,19.25
Anolis_chlorocyanus,-70.4633,19.2617
Anolis_chlorocyanus,-71.6968,19.2628
Anolis_chlorocyanus,-69.8808,19.2633
Anolis_chlorocyanus,-69.2008,19.2736
Anolis_chlorocyanus,-69.5406,19.3147
